R_fighter,B_fighter,Winner,weight_class,R_wins,R_losses,B_wins,B_losses,fight_number
Eryk Anders,Gerald Meerschaert,Red,Middleweight,4,4,5,3,677
Joanna Jedrzejczyk,Michelle Waterson,Red,WomenStrawweight,9,3,5,2,678
Niko Price,James Vick,Red,Welterweight,5,4,9,4,679
Max Griffin,Alex Morono,Blue,Welterweight,3,4,5,3,680
Deiveson Figueiredo,Tim Elliott,Red,Flyweight,5,1,4,6,681
Marlon Vera,Andre Ewell,Red,Bantamweight,8,4,2,1,682
Miguel Baeza,Hector Aldana,Red,Welterweight,0,0,0,2,683
Marvin Vettori,Andrew Sanchez,Red,Middleweight,3,3,4,2,684
JJ Aldrich,Lauren Mueller,Red,WomenFlyweight,3,2,1,2,685
Justin Tafa,Yorgan De Castro,Blue,Heavyweight,0,0,0,0,686
Robert Whittaker,Israel Adesanya,Blue,Middleweight,11,2,6,0,687
Jake Matthews,Rostem Akman,Red,Welterweight,7,4,0,1,688
Tai Tuivasa,Serghei Spivac,Blue,Heavyweight,3,2,0,1,689
Brad Riddell,Jamie Mullarkey,Red,Lightweight,0,0,0,0,690
Al Iaquinta,Dan Hooker,Blue,Lightweight,9,4,8,4,691
Callan Potter,Maki Pitolo,Red,Welterweight,0,1,0,0,692
Luke Jumeau,Dhiego Lima,Blue,Welterweight,2,1,3,5,693
Megan Anderson,Zarah Fairn,Red,WomenFeatherweight,1,2,0,0,694
Khalid Taha,Bruno Silva,Draw,Bantamweight,1,1,0,0,695
Nadia Kassem,Ji Yeon Kim,Blue,WomenFlyweight,1,1,2,2,696
Ion Cutelaba,Khalil Rountree Jr.,Red,LightHeavyweight,3,3,4,4,697
Michal Oleksiejczuk,Ovince Saint Preux,Blue,LightHeavyweight,2,1,11,8,698
Alen Amedovski,John Phillips,Blue,Middleweight,0,1,0,3,699
Nicolas Dalby,Alex Oliveira,Red,Welterweight,1,3,9,6,700
Gunnar Nelson,Gilbert Burns,Blue,Welterweight,8,4,9,3,701
Jack Hermansson,Jared Cannonier,Blue,Middleweight,7,2,5,4,702
Mark Madsen,Danilo Belluardo,Red,Lightweight,0,0,0,1,703
Alessio Di Chirico,Makhmud Muradov,Blue,Middleweight,3,3,0,0,704
Siyar Bahadurzada,Ismail Naurdiev,Blue,Welterweight,4,3,1,1,705
Macy Chiasson,Lina Lansberg,Blue,WomenBantamweight,3,0,3,3,706
Brandon Davis,Giga Chikadze,Blue,Featherweight,2,4,0,0,707
Marc Diakiese,Lando Vannata,Red,Lightweight,4,3,2,5,708
Jack Shore,Nohelin Hernandez,Red,Bantamweight,0,0,0,1,709
Martin Bravo,Steven Peterson,Blue,Featherweight,1,2,1,3,710
Jose Quinonez,Carlos Huachin,Red,Bantamweight,4,2,0,1,711
Carla Esparza,Alexa Grasso,Red,WomenStrawweight,5,4,3,2,712
Ariane Carnelossi,Angela Hill,Blue,WomenStrawweight,0,0,4,7,713
Marco Polo Reyes,Kyle Nelson,Blue,Featherweight,4,3,0,2,714
Brandon Moreno,Askar Askarov,Draw,Flyweight,3,2,0,0,715
Irene Aldana,Vanessa Melo,Red,WomenBantamweight,3,3,0,0,716
Yair Rodriguez,Jeremy Stephens,Draw,Featherweight,7,1,15,15,717
Vinicius Moreira,Paul Craig,Blue,LightHeavyweight,0,2,3,4,718
Claudio Puelles,Marcos Mariano,Red,Lightweight,1,1,0,1,719
Sijara Eubanks,Bethe Correia,Blue,WomenBantamweight,2,1,4,5,720
Sergio Pettis,Tyson Nam,Red,Flyweight,8,5,0,0,721
Donald Cerrone,Justin Gaethje,Blue,Lightweight,23,9,3,2,722
Misha Cirkunov,Jimmy Crute,Red,LightHeavyweight,5,3,2,0,723
Cole Smith,Miles Johns,Blue,Bantamweight,1,0,0,0,724
Marcin Tybura,Augusto Sakai,Blue,Heavyweight,4,4,2,0,725
Uriah Hall,Antonio Carlos Junior,Red,Middleweight,7,7,7,4,726
Glover Teixeira,Nikita Krylov,Red,LightHeavyweight,12,5,7,4,727
Todd Duffee,Jeff Hughes,Draw,Heavyweight,3,2,0,1,728
Michel Pereira,Tristan Connelly,Blue,Welterweight,1,0,0,0,729
Louis Smolka,Ryan MacDonald,Red,Bantamweight,6,6,0,1,730
Kyle Prepolec,Austin Hubbard,Blue,Lightweight,0,1,0,1,731
Chas Skelly,Jordan Griffin,Red,Featherweight,6,4,0,1,732
Brad Katona,Hunter Azure,Blue,Bantamweight,2,1,0,0,733
Zubaira Tukhugov,Lerone Murphy,Draw,Featherweight,3,1,0,0,734
Curtis Blaydes,Shamil Abdurakhimov,Red,Heavyweight,6,3,5,2,735
Liana Jojua,Sarah Moras,Blue,WomenBantamweight,0,0,2,4,736
Islam Makhachev,Davi Ramos,Red,Lightweight,6,1,4,1,737
Khabib Nurmagomedov,Dustin Poirier,Red,Lightweight,11,0,17,5,738
Edson Barboza,Paul Felder,Blue,Lightweight,14,7,8,4,739
Joanne Calderwood,Andrea Lee,Red,WomenFlyweight,5,4,3,0,740
Mairbek Taisumov,Diego Ferreira,Blue,Lightweight,7,1,6,2,741
Ottman Azaitar,Teemu Packalen,Red,Lightweight,0,0,1,2,742
Omari Akhmedov,Zak Cummings,Red,Middleweight,6,4,8,3,743
Belal Muhammad,Takashi Sato,Red,Welterweight,6,3,1,0,744
Don Madge,Fares Ziam,Red,Lightweight,1,0,0,0,745
Nordine Taleb,Muslim Salikhov,Blue,Welterweight,7,4,1,1,746
Da-Un Jung,Khadis Ibragimov,Red,LightHeavyweight,0,0,0,0,747
Kai Kara-France,Mark De La Rosa,Red,Flyweight,2,0,2,2,748
Li Jingliang,Elizeu Zaleski dos Santos,Red,Welterweight,8,3,7,1,749
Su Mudaerji,Andre Soukhamthath,Red,Bantamweight,0,1,2,4,750
Wu Yanan,Inoue Mizuki,Blue,WomenFlyweight,1,1,0,0,751
Jessica Andrade,Zhang Weili,Blue,WomenStrawweight,11,4,3,0,752
Song Kenan,Derrick Krantz,Red,Welterweight,2,1,0,1,753
Junyong Park,Anthony Hernandez,Blue,Middleweight,0,0,0,1,754
Damir Ismagulov,Thiago Moises,Red,Lightweight,2,0,1,1,755
Karol Rosa,Lara Procopio,Red,WomenBantamweight,0,0,0,0,756
Heili Alateng,Batgerel Danaa,Red,Bantamweight,0,0,0,0,757
Devonte Smith,Khama Worthy,Blue,Lightweight,2,0,0,0,758
Anthony Pettis,Nate Diaz,Blue,Welterweight,9,7,14,9,759
Christos Giagos,Drakkar Klose,Blue,Lightweight,3,3,4,1,760
Yoel Romero,Paulo Costa,Blue,Middleweight,9,2,4,0,761
Raphael Assuncao,Cory Sandhagen,Blue,Bantamweight,11,3,4,0,762
Gabriel Benitez,Sodiq Yusuff,Blue,Featherweight,5,2,2,0,763
Derek Brunson,Ian Heinisch,Red,Middleweight,10,5,2,0,764
Daniel Cormier,Stipe Miocic,Blue,Heavyweight,11,2,12,3,765
Kyung Ho Kang,Brandon Davis,Red,Bantamweight,4,3,2,3,766
Hannah Cifers,Jodie Esquibel,Red,WomenStrawweight,1,1,0,3,767
Manny Bermudez,Casey Kenney,Blue,CatchWeight,3,0,1,0,768
Sabina Mazo,Shana Dobson,Red,WomenFlyweight,0,1,1,1,769
Eduardo Garagorri,Humberto Bandenay,Red,Featherweight,0,0,1,2,770
Vicente Luque,Mike Perry,Red,Welterweight,9,2,6,4,771
Gilbert Burns,Aleksei Kunchenko,Red,Welterweight,8,3,2,0,772
Volkan Oezdemir,Ilir Latifi,Red,LightHeavyweight,3,3,7,4,773
Ciryl Gane,Raphael Pessoa,Red,Heavyweight,0,0,0,0,774
Enrique Barzola,Bobby Moffett,Red,Featherweight,5,2,0,2,775
Rodolfo Vieira,Oskar Piechota,Red,Middleweight,0,0,2,1,776
Valentina Shevchenko,Liz Carmouche,Red,WomenFlyweight,6,2,5,4,777
Tecia Torres,Marina Rodriguez,Blue,WomenStrawweight,6,4,1,1,778
Rogerio Bontorin,Raulian Paiva,Red,Flyweight,1,0,0,1,779
Geraldo de Freitas,Chris Gutierrez,Blue,Bantamweight,1,0,1,1,780
Veronica Macedo,Polyana Viana,Red,WomenFlyweight,0,3,1,2,781
Kazula Vargas,Alex Da Silva,Blue,Lightweight,0,0,0,1,782
Joaquim Silva,Nasrat Haqparast,Blue,Lightweight,4,1,2,1,783
Scott Holtzman,Dong Hyun Ma,Red,Lightweight,5,3,3,3,784
Darko Stosic,Kennedy Nzechukwu,Blue,LightHeavyweight,1,1,0,1,785
Antonina Shevchenko,Lucie Pudilova,Red,WomenFlyweight,1,1,2,3,786
Colby Covington,Robbie Lawler,Red,Welterweight,9,1,13,7,787
Jim Miller,Clay Guida,Red,Lightweight,19,13,15,12,788
Trevin Giles,Gerald Meerschaert,Blue,Middleweight,2,1,4,3,789
Miranda Granger,Hannah Goldy,Red,WomenFlyweight,0,0,0,0,790
Jordan Espinosa,Matt Schnell,Blue,Flyweight,1,0,3,2,791
Lauren Murphy,Mara Romero Borella,Red,WomenFlyweight,2,4,2,1,792
Claudio Silva,Cole Williams,Red,Welterweight,4,0,0,0,793
Mickey Gall,Salim Touahri,Red,Welterweight,4,2,0,2,794
Gavin Tucker,SeungWoo Choi,Red,Featherweight,1,1,0,1,795
Geoff Neal,Niko Price,Red,Welterweight,3,0,5,3,796
Hakeem Dawodu,Yoshinori Horie,Red,Featherweight,2,1,0,0,797
Marc-Andre Barriault,Krzysztof Jotko,Blue,Middleweight,0,1,7,4,798
Cristiane Justino,Felicia Spencer,Red,WomenFeatherweight,5,1,1,0,799
Olivier Aubin-Mercier,Arman Tsarukyan,Blue,Lightweight,7,4,0,1,800
Alexis Davis,Viviane Araujo,Blue,WomenFlyweight,6,4,1,0,801
Max Holloway,Frankie Edgar,Red,Featherweight,16,4,17,7,802
Alexandre Pantoja,Deiveson Figueiredo,Blue,Flyweight,5,1,4,1,803
Gillian Robertson,Sarah Frota,Red,WomenFlyweight,3,1,0,1,804
Erik Koch,Kyle Stewart,Red,Welterweight,4,5,0,1,805
Raquel Pennington,Irene Aldana,Red,WomenBantamweight,6,4,3,2,806
Rafael Dos Anjos,Leon Edwards,Blue,Welterweight,18,9,9,2,807
Alex Caceres,Steven Peterson,Red,Featherweight,9,11,1,2,808
Alexander Hernandez,Francisco Trinaldo,Red,Lightweight,2,1,13,5,809
James Vick,Dan Hooker,Blue,Lightweight,9,3,7,4,810
Aleksei Oleinik,Walt Harris,Blue,Heavyweight,6,3,5,7,811
Andrei Arlovski,Ben Rothwell,Red,Heavyweight,16,13,6,5,812
Greg Hardy,Juan Adams,Red,Heavyweight,1,1,1,1,813
Roxanne Modafferi,Jennifer Maia,Blue,WomenFlyweight,2,3,1,1,814
Sam Alvey,Klidson Abreu,Blue,LightHeavyweight,10,7,0,1,815
Domingo Pilarte,Felipe Colares,Blue,Bantamweight,0,0,0,1,816
Ray Borg,Gabriel Silva,Red,Bantamweight,5,4,0,0,817
Mario Bautista,Jin Soo Son,Red,Bantamweight,0,1,0,1,818
Andre Fili,Sheymon Moraes,Red,Featherweight,7,5,2,2,819
Marvin Vettori,Cezar Ferreira,Red,Middleweight,2,3,9,5,820
Josh Emmett,Mirsad Bektic,Red,Featherweight,5,2,6,1,821
Julianna Pena,Nicco Montano,Red,WomenBantamweight,4,1,1,0,822
Mike Rodriguez,John Allan,Draw,LightHeavyweight,1,1,0,0,823
Urijah Faber,Ricky Simon,Red,Bantamweight,10,6,3,0,824
Germaine de Randamie,Aspen Ladd,Red,WomenBantamweight,5,1,3,0,825
Karl Roberson,Wellington Turman,Red,Middleweight,2,2,0,0,826
Pingyuan Liu,Jonathan Martinez,Blue,Bantamweight,2,0,1,1,827
Benito Lopez,Vince Morales,Red,Bantamweight,1,1,1,1,828
Livinha Souza,Brianna Van Buren,Blue,WomenStrawweight,2,0,0,0,829
Darren Elkins,Ryan Hall,Blue,Featherweight,14,6,3,0,830
Jorge Masvidal,Ben Askren,Red,Welterweight,10,6,1,0,831
Marlon Vera,Nohelin Hernandez,Red,Bantamweight,7,4,0,0,832
Amanda Nunes,Holly Holm,Red,WomenBantamweight,10,1,5,4,833
Diego Sanchez,Michael Chiesa,Blue,Welterweight,18,11,8,4,834
Jon Jones,Thiago Santos,Red,LightHeavyweight,18,2,13,5,835
Gilbert Melendez,Arnold Allen,Blue,Featherweight,1,5,5,0,836
Claudia Gadelha,Randa Markos,Red,WomenStrawweight,5,4,5,6,837
Jan Blachowicz,Luke Rockhold,Red,LightHeavyweight,6,5,6,3,838
Edmen Shahbazyan,Jack Marshman,Red,Middleweight,2,0,3,3,839
Alejandro Perez,Song Yadong,Blue,Bantamweight,7,3,3,0,840
Ismail Naurdiev,Chance Rencountre,Blue,Welterweight,1,0,1,1,841
Julia Avila,Pannie Kianzad,Red,WomenBantamweight,0,0,0,1,842
Eryk Anders,Vinicius Moreira,Red,LightHeavyweight,3,4,0,1,843
Jussier Formiga,Joseph Benavidez,Blue,Flyweight,9,4,14,3,844
Roosevelt Roberts,Vinc Pichel,Blue,Lightweight,2,0,4,2,845
Francis Ngannou,Junior Dos Santos,Red,Heavyweight,8,2,15,4,846
Alonzo Menifield,Paul Craig,Red,LightHeavyweight,1,0,3,3,847
Drew Dober,Marco Polo Reyes,Red,Lightweight,6,6,4,2,848
Demian Maia,Anthony Rocco Martin,Red,Welterweight,20,9,8,4,849
Ricardo Ramos,Journey Newson,Red,Bantamweight,3,1,0,0,850
Emily Whitmire,Amanda Ribas,Blue,WomenStrawweight,2,1,0,0,851
Dalcha Lungiambula,Dequan Townsend,Red,LightHeavyweight,0,0,0,0,852
Maurice Greene,Junior Albini,Red,Heavyweight,2,0,1,3,853
Jared Gordon,Dan Moret,Red,Lightweight,2,2,0,2,854
Kevin Holland,Alessio Di Chirico,Red,Middleweight,2,1,3,2,855
Ashley Yoder,Syuri Kondo,Red,WomenStrawweight,1,3,1,2,856
Matt Wiman,Luis Pena,Blue,Lightweight,10,5,2,1,857
Andrea Lee,Montana De La Rosa,Red,WomenFlyweight,2,0,3,0,858
Renato Moicano,Chan Sung Jung,Blue,Featherweight,5,2,4,2,859
Bryan Barberena,Randy Brown,Blue,Welterweight,5,4,4,3,860
Dan Ige,Kevin Aguilar,Red,Featherweight,3,1,2,0,861
Andre Ewell,Anderson Dos Santos,Red,Bantamweight,1,1,0,1,862
Allen Crowder,Jairzinho Rozenstruik,Blue,Heavyweight,1,1,1,0,863
Ariane Lipski,Molly McCann,Blue,WomenFlyweight,0,1,1,1,864
Deron Winn,Eric Spicely,Red,Middleweight,0,0,2,4,865
Aljamain Sterling,Pedro Munhoz,Red,Bantamweight,9,3,8,4,866
Tatiana Suarez,Nina Ansaroff,Red,WomenStrawweight,4,0,4,2,867
Tai Tuivasa,Blagoy Ivanov,Blue,Heavyweight,3,1,1,1,868
Valentina Shevchenko,Jessica Eye,Red,WomenFlyweight,5,2,4,6,869
Jimmie Rivera,Petr Yan,Blue,Bantamweight,6,2,4,0,870
Tony Ferguson,Donald Cerrone,Red,Lightweight,14,1,23,8,871
Karolina Kowalkiewicz,Alexa Grasso,Blue,WomenStrawweight,5,4,2,2,872
Henry Cejudo,Marlon Moraes,Red,Bantamweight,8,2,4,1,873
Yan Xiaonan,Angela Hill,Red,WomenStrawweight,3,0,4,6,874
Katlyn Chookagian,Joanne Calderwood,Red,WomenFlyweight,4,2,5,3,875
Bevon Lewis,Darren Stewart,Blue,Middleweight,0,1,2,5,876
Ricardo Lamas,Calvin Kattar,Blue,Featherweight,10,5,3,1,877
Eddie Wineland,Grigory Popov,Red,Bantamweight,5,7,0,0,878
Stevie Ray,Leonardo Santos,Blue,Lightweight,6,3,5,1,879
Tonya Evinger,Lina Lansberg,Blue,WomenBantamweight,0,2,2,3,880
Damir Hadzovic,Christos Giagos,Blue,Lightweight,3,2,2,3,881
Makwan Amirkhani,Chris Fishgold,Red,Featherweight,4,1,1,1,882
Alexander Gustafsson,Anthony Smith,Blue,LightHeavyweight,10,5,7,4,883
Daniel Teymur,Sung Bin Jo,Red,Featherweight,0,3,0,0,884
Rostem Akman,Sergey Khandozhko,Blue,Welterweight,0,0,0,0,885
Jimi Manuwa,Aleksandar Rakic,Blue,LightHeavyweight,6,5,3,0,886
Darko Stosic,Devin Clark,Blue,LightHeavyweight,1,0,3,3,887
Joel Alvarez,Danilo Belluardo,Red,Lightweight,0,1,0,0,888
Nick Hein,Frank Camacho,Blue,Lightweight,4,3,1,3,889
Bea Malecki,Duda Santana,Red,WomenBantamweight,0,0,0,0,890
Davi Ramos,Austin Hubbard,Red,Lightweight,3,1,0,0,891
Vicente Luque,Derrick Krantz,Red,Welterweight,8,2,0,0,892
Rafael Dos Anjos,Kevin Lee,Red,Welterweight,17,9,10,4,893
Aspen Ladd,Sijara Eubanks,Red,WomenBantamweight,2,0,2,0,894
Desmond Green,Charles Jourdain,Red,Lightweight,3,3,0,0,895
Megan Anderson,Felicia Spencer,Blue,WomenFeatherweight,1,1,0,0,896
Antonio Carlos Junior,Ian Heinisch,Blue,Middleweight,7,3,1,0,897
Charles Oliveira,Nik Lentz,Red,Lightweight,14,9,14,8,898
Zak Cummings,Trevin Giles,Red,Middleweight,7,3,2,0,899
Michael Trizano,Grant Dawson,Blue,Featherweight,2,0,1,0,900
Danny Roberts,Michel Pereira,Blue,Welterweight,5,3,0,0,901
Patrick Cummins,Ed Herman,Blue,LightHeavyweight,6,6,10,11,902
Julio Arce,Julian Erosa,Red,Featherweight,2,1,1,3,903
Irene Aldana,Bethe Correia,Red,WomenBantamweight,2,2,4,4,904
Jared Cannonier,Anderson Silva,Red,Middleweight,4,4,17,6,905
Rogerio Nogueira,Ryan Spann,Blue,LightHeavyweight,6,5,1,0,906
Thiago Moises,Kurt Holobaugh,Red,Lightweight,0,1,0,3,907
Jose Aldo,Alexander Volkanovski,Blue,Featherweight,10,3,6,0,908
Thiago Alves,Laureano Staropoli,Blue,Welterweight,15,10,1,0,909
Warlley Alves,Sergio Moraes,Red,Welterweight,6,3,8,4,910
Rose Namajunas,Jessica Andrade,Blue,WomenStrawweight,6,2,10,4,911
Raoni Barcelos,Carlos Huachin,Red,Bantamweight,2,0,0,0,912
BJ Penn,Clay Guida,Blue,Lightweight,12,14,14,12,913
Luana Carolina,Priscila Cachoeira,Red,WomenFlyweight,0,0,0,2,914
Talita Bernardo,Viviane Araujo,Blue,WomenBantamweight,1,2,0,0,915
Walt Harris,Serghei Spivac,Red,Heavyweight,4,7,0,0,916
Al Iaquinta,Donald Cerrone,Blue,Lightweight,9,3,22,8,917
Marc-Andre Barriault,Andrew Sanchez,Blue,Middleweight,0,0,3,2,918
Aiemann Zahabi,Vince Morales,Blue,Bantamweight,1,1,0,1,919
Derek Brunson,Elias Theodorou,Red,Middleweight,9,5,8,2,920
Macy Chiasson,Sarah Moras,Red,WomenBantamweight,2,0,2,3,921
Cub Swanson,Shane Burgos,Blue,Featherweight,10,6,4,1,922
Brad Katona,Merab Dvalishvili,Blue,Bantamweight,2,0,1,2,923
Nordine Taleb,Kyle Prepolec,Red,Welterweight,6,4,0,0,924
Kyle Nelson,Matt Sayles,Blue,Featherweight,0,1,0,1,925
Arjan Bhullar,Juan Adams,Red,Heavyweight,2,1,1,0,926
Mitch Gagnon,Cole Smith,Blue,Bantamweight,4,3,0,0,927
Andrei Arlovski,Augusto Sakai,Blue,Heavyweight,16,12,1,0,928
Glover Teixeira,Ion Cutelaba,Red,LightHeavyweight,11,5,3,2,929
Greg Hardy,Dmitrii Smoliakov,Red,Heavyweight,0,1,0,2,930
John Lineker,Cory Sandhagen,Blue,Bantamweight,12,3,3,0,931
Jacare Souza,Jack Hermansson,Blue,Middleweight,9,3,6,2,932
Roosevelt Roberts,Thomas Gifford,Red,Lightweight,1,0,0,0,933
Ben Saunders,Takashi Sato,Blue,Welterweight,9,8,0,0,934
Alex Oliveira,Mike Perry,Blue,Welterweight,9,5,5,4,935
Angela Hill,Jodie Esquibel,Red,WomenStrawweight,3,6,0,2,936
Carla Esparza,Virna Jandiroba,Red,WomenStrawweight,4,4,0,0,937
Gilbert Burns,Mike Davis,Red,Lightweight,7,3,0,0,938
Jim Miller,Jason Gonzalez,Red,Lightweight,18,13,1,2,939
Court McGee,Dhiego Lima,Blue,Welterweight,8,6,2,5,940
Roxanne Modafferi,Antonina Shevchenko,Red,WomenFlyweight,1,3,1,0,941
Alexander Yakovlev,Alex Da Silva,Red,Lightweight,2,4,0,0,942
Islam Makhachev,Arman Tsarukyan,Red,Lightweight,5,1,0,0,943
Krzysztof Jotko,Alen Amedovski,Red,Middleweight,6,4,0,0,944
Sergei Pavlovich,Marcelo Golm,Red,Heavyweight,0,1,1,2,945
Alistair Overeem,Aleksei Oleinik,Red,Heavyweight,9,6,6,2,946
Movsar Evloev,SeungWoo Choi,Red,Featherweight,0,0,0,0,947
Sultan Aliev,Keita Nakamura,Red,Welterweight,1,2,4,6,948
Marcin Tybura,Shamil Abdurakhimov,Blue,Heavyweight,4,3,4,2,949
Gadzhimurad Antigulov,Michal Oleksiejczuk,Blue,LightHeavyweight,2,1,1,1,950
Magomed Mustafaev,Rafael Fiziev,Red,Lightweight,2,1,0,0,951
Max Holloway,Dustin Poirier,Blue,Lightweight,16,3,16,5,952
Max Griffin,Zelim Imadaev,Red,Welterweight,2,4,0,0,953
Eryk Anders,Khalil Rountree Jr.,Blue,LightHeavyweight,3,3,3,4,954
Alan Jouban,Dwight Grant,Blue,Welterweight,7,4,1,1,955
Jalin Turner,Matt Frevola,Blue,Lightweight,1,1,0,2,956
Ovince Saint Preux,Nikita Krylov,Blue,LightHeavyweight,11,7,6,4,957
Kelvin Gastelum,Israel Adesanya,Blue,Middleweight,10,4,5,0,958
Curtis Millender,Belal Muhammad,Blue,Welterweight,3,1,5,3,959
Wilson Reis,Alexandre Pantoja,Blue,Flyweight,7,5,4,1,960
Boston Salmon,Khalid Taha,Blue,Bantamweight,0,0,0,1,961
Montel Jackson,Andre Soukhamthath,Red,Bantamweight,1,1,2,3,962
Brandon Davis,Randy Costa,Red,Bantamweight,1,3,0,0,963
Lauren Mueller,Poliana Botelho,Blue,WomenFlyweight,1,1,2,1,964
Edson Barboza,Justin Gaethje,Blue,Lightweight,14,6,2,2,965
Kennedy Nzechukwu,Paul Craig,Blue,LightHeavyweight,0,0,2,3,966
Ross Pearson,Desmond Green,Blue,Lightweight,12,13,2,3,967
Sodiq Yusuff,Sheymon Moraes,Red,Featherweight,1,0,2,1,968
Karolina Kowalkiewicz,Michelle Waterson,Blue,WomenStrawweight,5,3,4,2,969
Marina Rodriguez,Jessica Aguilar,Red,WomenStrawweight,0,1,1,3,970
Josh Emmett,Michael Johnson,Red,Featherweight,4,2,11,9,971
David Branch,Jack Hermansson,Blue,Middleweight,4,4,5,2,972
Ray Borg,Casey Kenney,Blue,Bantamweight,5,3,0,0,973
Enrique Barzola,Kevin Aguilar,Blue,Featherweight,5,1,1,0,974
Kevin Holland,Gerald Meerschaert,Red,Middleweight,1,1,4,2,975
Alex Perez,Mark De La Rosa,Red,Bantamweight,3,1,2,1,976
Sabina Mazo,Maryna Moroz,Blue,WomenFlyweight,0,0,3,3,977
Bryce Mitchell,Bobby Moffett,Red,Featherweight,1,0,0,1,978
Jussier Formiga,Deiveson Figueiredo,Red,Flyweight,8,4,4,0,979
Stephen Thompson,Anthony Pettis,Blue,Welterweight,9,4,8,7,980
Marlon Vera,Frankie Saenz,Red,Bantamweight,6,4,5,3,981
Curtis Blaydes,Justin Willis,Red,Heavyweight,5,3,4,0,982
John Makdessi,Jesus Pinedo,Red,Lightweight,9,6,1,0,983
Maycee Barber,JJ Aldrich,Red,WomenFlyweight,1,0,3,1,984
Luis Pena,Steven Peterson,Red,Featherweight,1,1,1,1,985
Randa Markos,Angela Hill,Red,WomenStrawweight,4,6,3,5,986
Eric Shelton,Jordan Espinosa,Blue,Flyweight,2,3,0,0,987
Alexis Davis,Jennifer Maia,Blue,WomenFlyweight,6,3,0,1,988
Ryan MacDonald,Chris Gutierrez,Blue,Bantamweight,0,0,0,1,989
Volkan Oezdemir,Dominick Reyes,Blue,LightHeavyweight,3,2,4,0,990
Jack Marshman,John Phillips,Red,Middleweight,2,3,0,2,991
Nathaniel Wood,Jose Quinonez,Red,Bantamweight,2,0,4,1,992
Marc Diakiese,Joe Duffy,Red,Lightweight,3,3,4,2,993
Arnold Allen,Jordan Rinaldi,Red,Featherweight,4,0,2,2,994
Danny Roberts,Claudio Silva,Blue,Welterweight,5,2,3,0,995
Darren Till,Jorge Masvidal,Blue,Welterweight,5,2,9,6,996
Leon Edwards,Gunnar Nelson,Red,Welterweight,8,2,8,3,997
Danny Henry,Dan Ige,Blue,Featherweight,2,0,2,1,998
Molly McCann,Priscila Cachoeira,Red,WomenFlyweight,0,1,0,1,999
Nicolae Negumereanu,Saparbeg Safarov,Blue,LightHeavyweight,0,0,0,2,1000
Mike Grundy,Nad Narimani,Red,Featherweight,0,0,2,0,1001
Blagoy Ivanov,Ben Rothwell,Red,Heavyweight,0,1,6,4,1002
Elizeu Zaleski dos Santos,Curtis Millender,Red,Welterweight,6,1,3,0,1003
Derrick Lewis,Junior Dos Santos,Blue,Heavyweight,12,4,14,4,1004
Beneil Dariush,Drew Dober,Red,Lightweight,9,5,6,5,1005
Marion Reneau,Yana Kunitskaya,Blue,WomenBantamweight,5,4,1,1,1006
Tim Boetsch,Omari Akhmedov,Blue,Middleweight,12,11,5,4,1007
Anthony Rocco Martin,Sergio Moraes,Red,Welterweight,7,4,8,3,1008
Tim Means,Niko Price,Blue,Welterweight,10,8,4,3,1009
Grant Dawson,Julian Erosa,Red,Featherweight,0,0,1,2,1010
Maurice Greene,Jeff Hughes,Red,Heavyweight,1,0,0,0,1011
Alex White,Dan Moret,Red,Lightweight,3,5,0,1,1012
Alex Morono,Zak Ottow,Red,Welterweight,4,3,4,3,1013
Louis Smolka,Matt Schnell,Blue,Bantamweight,6,5,2,2,1014